prjclk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io2_l2p2n1_l5p2n1_l8p2n1,10.0,8.016,1.25,56,20,19906,21688,851,196,91,196,8x32,2x32
io2_l2p2n1_l5p2n1_l8p2n1_d1d2,10.0,7.969,1.25,56,40,27082,34341,825,196,73,196,8x32,2x32
io4_l2n1n1_l5n1n1_l8n1n1,10.0,7.966,1.25,56,5,1326,2286,32,13,28,13,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n1_d1d2,10.0,7.966,1.25,112,5,1352,4955,33,13,29,13,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n2,10.0,7.966,1.25,56,8,1582,2547,34,17,29,17,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n2_d1d2,10.0,7.966,1.25,112,8,2047,4723,35,16,30,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n4,10.0,7.966,1.25,56,8,1805,2647,39,16,30,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n4_d1d2,10.0,7.966,1.25,112,14,2557,5001,39,13,32,13,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p1,10.0,7.966,1.25,56,5,1416,2490,34,16,30,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p1_d1d2,10.0,7.966,1.25,112,5,1444,5231,35,16,31,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p2,10.0,7.966,1.25,56,5,1543,2642,37,20,31,20,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p2_d1d2,10.0,7.966,1.25,112,5,1571,5619,37,19,31,19,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p4,10.0,7.969,1.25,56,5,1747,2785,43,19,33,19,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p4_d1d2,10.0,7.969,1.25,112,5,1764,5730,41,16,31,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8p1n1,10.0,7.984,1.25,56,11,2356,6839,177,42,49,42,16x32,4x32
io4_l2n1n1_l5n1n1_l8p1n1_d1d2,10.0,8.48,1.25,112,14,2417,10763,164,42,37,42,16x32,4x32
io4_l2n1n1_l5n1n1_l8p2n1,10.0,9.751,1.25,56,8,6931,8356,305,45,48,45,16x32,4x32
io4_l2n1n1_l5n1n1_l8p2n1_d1d2,10.0,8.579,1.25,120,26,8367,13424,292,45,41,45,16x32,4x32
io4_l2n1n1_l5n1n1_l8p4n1,10.0,8.518,1.25,56,40,28841,16829,561,42,61,42,16x32,4x32
io4_l2n1n1_l5n1n1_l8p4n1_d1d2,10.0,8.48,1.25,144,80,40710,26864,548,42,64,42,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n1,10.0,7.966,1.25,56,8,1646,2680,36,21,29,21,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n1_d1d2,10.0,7.966,1.25,112,8,1666,5859,37,19,30,19,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n2,10.0,7.966,1.25,56,8,1710,2795,38,25,29,25,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n2_d1d2,10.0,7.966,1.25,112,8,2377,5129,39,22,30,22,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n4,10.0,7.966,1.25,56,8,1933,2895,43,24,30,24,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n4_d1d2,10.0,7.966,1.25,112,14,2887,5407,43,19,32,19,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p1,10.0,7.966,1.25,56,8,1736,2884,38,24,31,24,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p1_d1d2,10.0,7.966,1.25,112,8,2304,5211,39,22,32,22,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p2,10.0,7.966,1.25,56,8,1831,3021,41,28,32,28,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p2_d1d2,10.0,7.966,1.25,112,8,2503,5408,41,25,32,25,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p4,10.0,7.969,1.25,56,8,2035,3164,47,27,34,27,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p4_d1d2,10.0,7.969,1.25,112,8,2748,5431,45,22,32,22,16x32,4x32
io4_l2n1n2_l5n1n2_l8p1n1,10.0,7.984,1.25,56,11,2484,7087,181,50,49,50,16x32,4x32
io4_l2n1n2_l5n1n2_l8p1n1_d1d2,10.0,8.48,1.25,112,14,3241,10333,168,48,37,48,16x32,4x32
io4_l2n1n2_l5n1n2_l8p2n1,10.0,9.788,1.25,56,8,7059,8550,309,53,48,53,16x32,4x32
io4_l2n1n2_l5n1n2_l8p2n1_d1d2,10.0,8.579,1.25,120,26,9113,13070,296,51,41,51,16x32,4x32
io4_l2n1n2_l5n1n2_l8p4n1,10.0,8.518,1.25,56,40,28969,17071,565,50,61,50,16x32,4x32
io4_l2n1n2_l5n1n2_l8p4n1_d1d2,10.0,8.48,1.25,144,80,41820,25920,552,48,64,48,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n1,10.0,7.977,1.25,56,8,2028,2860,46,19,31,19,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n1_d1d2,10.0,7.966,1.25,112,14,2262,6365,45,13,32,13,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n2,10.0,7.977,1.25,56,8,2092,2975,48,23,31,23,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n2_d1d2,10.0,7.966,1.25,112,14,3077,5459,47,16,32,16,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n4,10.0,7.966,1.25,56,8,2251,3067,53,22,32,22,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n4_d1d2,10.0,7.966,1.25,112,14,3267,5491,51,13,32,13,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p1,10.0,7.977,1.25,56,8,2118,3064,48,22,33,22,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p1_d1d2,10.0,7.966,1.25,112,14,3004,5541,47,16,34,16,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p2,10.0,7.966,1.25,56,8,2181,3189,51,26,34,26,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p2_d1d2,10.0,7.966,1.25,112,14,3203,5738,49,19,34,19,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p4,10.0,7.966,1.25,56,8,2353,3332,57,25,36,25,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p4_d1d2,10.0,7.969,1.25,112,14,3448,5773,53,16,34,16,16x32,4x32
io4_l2n1n4_l5n1n4_l8p1n1,10.0,8.609,1.25,56,11,2834,7247,191,48,51,48,16x32,4x32
io4_l2n1n4_l5n1n4_l8p1n1_d1d2,10.0,8.48,1.25,112,14,3621,10401,176,42,37,42,16x32,4x32
io4_l2n1n4_l5n1n4_l8p2n1,10.0,9.183,1.25,56,8,7377,8642,319,51,50,51,16x32,4x32
io4_l2n1n4_l5n1n4_l8p2n1_d1d2,10.0,8.579,1.25,120,26,9493,13026,304,45,41,45,16x32,4x32
io4_l2n1n4_l5n1n4_l8p4n1,10.0,8.593,1.25,56,40,29287,17232,575,48,63,48,16x32,4x32
io4_l2n1n4_l5n1n4_l8p4n1_d1d2,10.0,8.48,1.25,144,80,42200,25944,560,42,64,42,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n1,10.0,7.966,1.25,56,5,1506,2694,36,19,32,19,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n1_d1d2,10.0,7.966,1.25,112,5,1536,5507,37,19,33,19,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n2,10.0,7.966,1.25,56,8,1762,2955,38,23,33,23,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n2_d1d2,10.0,7.966,1.25,112,8,2231,5275,39,22,34,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n4,10.0,7.966,1.25,56,8,1985,3055,43,22,34,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n4_d1d2,10.0,7.966,1.25,112,14,2741,5553,43,19,36,19,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p1,10.0,7.966,1.25,56,5,1596,2898,38,22,34,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p1_d1d2,10.0,7.966,1.25,112,5,1966,5211,39,22,35,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p2,10.0,7.966,1.25,56,5,1723,3050,41,26,35,26,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p2_d1d2,10.0,7.966,1.25,112,5,2197,5423,41,25,35,25,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p4,10.0,7.969,1.25,56,5,1927,3193,47,25,37,25,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p4_d1d2,10.0,7.969,1.25,112,5,2442,5446,45,22,35,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8p1n1,10.0,7.984,1.25,56,11,2522,7231,181,48,53,48,16x32,4x32
io4_l2n1p1_l5n1p1_l8p1n1_d1d2,10.0,8.48,1.25,112,14,3088,10415,168,48,41,48,16x32,4x32
io4_l2n1p1_l5n1p1_l8p2n1,10.0,9.751,1.25,56,8,7104,8772,309,51,52,51,16x32,4x32
io4_l2n1p1_l5n1p1_l8p2n1_d1d2,10.0,8.579,1.25,120,26,8953,13224,296,51,45,51,16x32,4x32
